com.samsung.health.device_profile,6311013,9
manufacturer,providing_step_goal,create_sh_ver,step_source_group,device_type,backsync_step_goal,capability,modify_sh_ver,device_group,update_time,create_time,name,model,legacy_deviceuuid,connectivity_type,deviceuuid,pkg_name,accessory_type,fixed_name,datauuid
motorola,,,,,,,,360001,2026-03-16 21:56:34.368,2026-03-16 14:57:08.688,My Device,motorola edge 60 neo,,,73kbvOFCrU,com.sec.android.app.shealth,,Moto Edge 60 Neo,97b506d7-027f-5925-e0b9-6daa1bc1e4d0,
Combined,,,,,,,,0,2026-03-16 14:57:18.945,2026-03-16 14:57:18.945,Combined,Combined,,,VfS0qUERdZ,com.sec.android.app.shealth,,,7af9722c-cd99-07b7-853a-43ce58e819c5,
all_target,,,,,,,,0,2026-03-16 14:57:19.397,2026-03-16 14:57:19.397,all_target,all_target,,,Mk66SbFqK1,com.sec.android.app.shealth,,,471ca32b-a665-1e9e-7c27-7ac69485dc05,
motorola,0,,0,0,0,,,360001,2020-07-22 15:01:17.298,2020-07-22 15:01:17.298,My Device,Moto G (5S) Plus,,0,m3h9nVfJDO,com.sec.android.app.shealth,,Brozi,377c8742-786c-86f4-b541-2cb5c2153088,
motorola,,,,,,,,360001,2021-10-21 19:34:49.037,2021-10-21 19:34:49.037,My Device,Moto G (5S) Plus,,,zOMhdsm5Ps,com.sec.android.app.shealth,,Moto G (5S) Plus,27591f4b-b0c9-80f1-fc09-c89ddafb3643,
Xiaomi,,,,,,,,360001,2021-11-11 13:00:36.939,2021-10-08 05:47:04.271,My Device,Redmi Note 9 Pro,,,t2lQEfg4vc,com.sec.android.app.shealth,,Brozi RN9P,bee7a6e6-2588-b323-de11-4b21c135a348,
Samsung Electronics,1,,107,10059,1,a2d58f5f-664d-4a5a-a78f-ed0e0e322283.capability.json,,360003,2025-08-01 09:20:48.667,2025-08-01 09:09:38.335,Galaxy Watch6 Classic,SM-R965F,,,kmteSRvjEN,com.sec.android.app.shealth,,,a2d58f5f-664d-4a5a-a78f-ed0e0e322283,
Samsung Electronics,1,,107,10059,1,84ff91f3-1aa0-4c63-b791-1b70e63d303b.capability.json,63030110,360003,2025-08-02 16:45:17.476,2025-08-01 10:40:34.330,Galaxy Watch6 Classic,SM-R965F,,,YDRm/TcCOZ,com.sec.android.app.shealth,,,84ff91f3-1aa0-4c63-b791-1b70e63d303b,
Samsung Electronics,1,,18,10045,1,5ab2dd81-d1cc-0500-3704-79854acfe4f3.capability.json,63030110,360003,2025-08-05 17:01:13.426,2023-11-24 06:57:04.893,Galaxy Watch,SM-R800,,,BPYUPn3BBR,com.sec.android.app.shealth,,,5ab2dd81-d1cc-0500-3704-79854acfe4f3,
motorola,,,,,,,,360001,2025-10-01 06:17:48.616,2025-08-02 12:53:47.665,My Device,motorola edge 30 neo,,,CdeuO5Zn7i,com.sec.android.app.shealth,,Moto Edge30 Neo,ab681d3d-6677-90db-a9db-ccdfdd8b765b,
Samsung Electronics,1,,107,10059,1,451385b6-93dc-4e5f-b4f3-41bba1ab6161.capability.json,63110130,360003,2026-03-15 12:58:50.693,2025-08-07 22:47:07.652,Galaxy Watch6 Classic,SM-R965F,,,VhFspb+oN4,com.sec.android.app.shealth,,,451385b6-93dc-4e5f-b4f3-41bba1ab6161,
