com.samsung.shealth.exercise.recovery_heart_rate,6311013,2
create_sh_ver,start_time,modify_sh_ver,update_time,create_time,time_offset,deviceuuid,exercise_id,pkg_name,end_time,datauuid,heart_rate
62981551,2025-08-01 14:30:11.526,62981551,2025-08-01 14:32:13.214,2025-08-01 14:32:13.214,UTC+0200,YDRm/TcCOZ,a26fa55a-7c2b-4dc3-ac3d-a7c8e4f632b7,com.sec.android.app.shealth,2025-08-01 14:32:11.526,614062c8-e289-44de-bb3c-47c6f3cc3e9c,614062c8-e289-44de-bb3c-47c6f3cc3e9c.heart_rate.json,
62981551,2025-08-03 20:40:29.504,62981551,2025-08-03 20:42:29.611,2025-08-03 20:42:29.611,UTC+0200,YDRm/TcCOZ,097bf40a-6ab1-4c6b-8d9f-9ddbd4490d64,com.sec.android.app.shealth,2025-08-03 20:42:29.504,2a51eddf-2896-4d39-b7b6-e4e58fe5a3bb,2a51eddf-2896-4d39-b7b6-e4e58fe5a3bb.heart_rate.json,
62981551,2025-08-11 18:15:23.153,62981551,2025-08-11 18:17:24.192,2025-08-11 18:17:24.192,UTC+0200,VhFspb+oN4,99b397fe-ddce-4f0d-8412-f08164d7dd46,com.sec.android.app.shealth,2025-08-11 18:17:23.153,adb61180-b76a-49bb-bf62-05eb66b1f67f,adb61180-b76a-49bb-bf62-05eb66b1f67f.heart_rate.json,
62981551,2025-08-20 18:52:19.037,62981551,2025-08-20 18:54:19.106,2025-08-20 18:54:19.106,UTC+0200,VhFspb+oN4,cb24d3fe-a998-4803-9f23-75ac36af1640,com.sec.android.app.shealth,2025-08-20 18:54:19.037,a69797c6-77d1-4511-a3ab-e56889dfdbc0,a69797c6-77d1-4511-a3ab-e56889dfdbc0.heart_rate.json,
62981551,2025-08-25 18:10:29.751,62981551,2025-08-25 18:12:31.159,2025-08-25 18:12:31.159,UTC+0200,VhFspb+oN4,25f5de3b-3b56-4816-ad2f-72af6604e06b,com.sec.android.app.shealth,2025-08-25 18:12:29.751,4eb348fe-14d8-449e-8124-5bc511c2ddaf,4eb348fe-14d8-449e-8124-5bc511c2ddaf.heart_rate.json,
62981551,2025-09-17 16:49:00.050,62981551,2025-09-17 16:51:00.250,2025-09-17 16:51:00.250,UTC+0200,VhFspb+oN4,cf8a4e5f-97c5-4ef6-a4dc-34cd003918d8,com.sec.android.app.shealth,2025-09-17 16:51:00.050,49e24fb6-7201-4e38-83e6-4701558dd6f2,49e24fb6-7201-4e38-83e6-4701558dd6f2.heart_rate.json,
62981551,2025-10-03 18:19:18.579,62981551,2025-10-03 18:21:18.662,2025-10-03 18:21:18.662,UTC+0200,VhFspb+oN4,b052a2a4-6998-4405-ab5b-f08155881953,com.sec.android.app.shealth,2025-10-03 18:21:18.579,d5462c75-0c46-4779-af42-ed5cd9d06e99,d5462c75-0c46-4779-af42-ed5cd9d06e99.heart_rate.json,
62981551,2025-10-08 20:34:27.821,62981551,2025-10-08 20:36:28.165,2025-10-08 20:36:28.165,UTC+0200,VhFspb+oN4,68516cfa-33b4-4217-81f1-20baafd92056,com.sec.android.app.shealth,2025-10-08 20:36:27.821,38faa784-d2c1-474b-818b-f343036a6308,38faa784-d2c1-474b-818b-f343036a6308.heart_rate.json,
62981551,2025-10-13 19:30:23.227,62981551,2025-10-13 19:32:23.192,2025-10-13 19:32:23.192,UTC+0200,VhFspb+oN4,9840b0e9-bb86-4498-8a53-e4f9e232e27d,com.sec.android.app.shealth,2025-10-13 19:32:23.180,2382ea9f-919e-4f31-b776-585ecbb34ead,2382ea9f-919e-4f31-b776-585ecbb34ead.heart_rate.json,
62981551,2025-10-16 17:01:13.768,62981551,2025-10-16 17:03:14.178,2025-10-16 17:03:14.178,UTC+0200,VhFspb+oN4,f927cb58-eb2f-4128-944c-2692ea0ac746,com.sec.android.app.shealth,2025-10-16 17:03:13.768,087cd069-9788-4315-999f-2e8d879c7554,087cd069-9788-4315-999f-2e8d879c7554.heart_rate.json,
