com.samsung.shealth.mood,6311013,2
create_sh_ver,start_time,factors,mood_type,modify_sh_ver,update_time,create_time,data_version,notes,place,time_offset,deviceuuid,company,pkg_name,emotions,datauuid
63030110,2025-08-02 08:40:54.408,,3,63030110,2025-08-02 08:40:54.419,2025-08-02 08:40:54.419,2,,,UTC+0200,CdeuO5Zn7i,,com.sec.android.app.shealth,,40016604-aa28-447c-92ef-5bf715fc4612,
63030110,2025-08-07 20:11:41.478,"1, 2, 8, 16, 18, 19, 15",3,63030110,2025-08-07 20:11:41.507,2025-08-07 20:11:41.507,2,,,UTC+0200,CdeuO5Zn7i,,com.sec.android.app.shealth,"33, 31",24d44229-6a9e-4ddc-b924-6e418eb7b6e9,
63030110,2025-08-09 03:09:53.583,"2, 15",2,63030110,2025-08-09 03:09:53.593,2025-08-09 03:09:53.593,2,,,UTC+0200,CdeuO5Zn7i,,com.sec.android.app.shealth,"1, 8, 30",ffe986b3-a367-457a-b8ef-eeb0df4edf72,
63030110,2025-08-10 20:02:21.730,"1, 8, 13, 18",4,63030110,2025-08-10 20:02:21.766,2025-08-10 20:02:21.766,2,,,UTC+0200,CdeuO5Zn7i,,com.sec.android.app.shealth,"15, 16, 22, 24, 26, 28",540de3fe-1322-4c20-8250-7e484e78ec80,
63030110,2025-08-11 20:17:14.737,"8, 18",2,63030110,2025-08-11 20:17:14.767,2025-08-11 20:17:14.767,2,,,UTC+0200,CdeuO5Zn7i,,com.sec.android.app.shealth,"34, 3, 31",fbfb0d02-3aa5-4d7f-8906-86975283c660,
63030110,2025-08-12 20:00:45.489,"4, 6, 8, 13",2,63030110,2025-08-12 20:00:45.513,2025-08-12 20:00:45.513,2,,,UTC+0200,CdeuO5Zn7i,,com.sec.android.app.shealth,"3, 5, 9, 10, 31",d5ed405f-e4b2-44f0-87a5-35cd14ce5443,
63030110,2025-08-13 20:05:01.803,"1, 12, 15",4,63030110,2025-08-13 20:05:01.914,2025-08-13 20:05:01.914,2,,,UTC+0200,CdeuO5Zn7i,,com.sec.android.app.shealth,"15, 23, 24, 26, 27",ec11a432-cfc9-4442-bfb0-261764f9b7ed,
63030110,2025-08-14 19:27:16.909,"2, 15",3,63030110,2025-08-14 19:27:16.918,2025-08-14 19:27:16.918,2,,,UTC+0200,CdeuO5Zn7i,,com.sec.android.app.shealth,"32, 33",c0d649b2-ca8f-4a21-8ab6-5e40e9c413c1,
63030110,2025-08-15 20:17:11.736,8,4,63030110,2025-08-15 20:17:11.742,2025-08-15 20:17:11.742,2,,,UTC+0200,CdeuO5Zn7i,,com.sec.android.app.shealth,"21, 26",46eb880d-46dd-484b-97ff-483a3bb83e89,
63030110,2025-08-24 20:13:54.519,"1, 8",4,63030110,2025-08-24 20:13:54.526,2025-08-24 20:13:54.526,2,,,UTC+0200,CdeuO5Zn7i,,com.sec.android.app.shealth,"26, 27",93458884-8547-44c6-968f-a648f864d0c3,
63051050,2025-10-05 20:02:51.020,"8, 9, 13",4,63051050,2025-10-05 20:02:51.033,2025-10-05 20:02:51.033,2,lack of firends,,UTC+0200,CdeuO5Zn7i,,com.sec.android.app.shealth,"24, 25, 16, 26, 15, 27",f2e32e68-3a66-4de0-888c-81c29b74747a,
63070030,2026-01-31 21:15:11.741,"8, 13",4,63070030,2026-01-31 21:15:11.753,2026-01-31 21:15:11.753,2,"can't find a place for myself, don't know what to do. gaming doesn't bring the same joy as it used to ",,UTC+0100,CdeuO5Zn7i,,com.sec.android.app.shealth,"26, 24, 25, 22",edd28918-290d-4b69-9b0e-9be7a76bd995,
