com.samsung.shealth.sleep_goal,6311013,4
create_sh_ver,modify_sh_ver,update_time,create_time,sleep_time,wake_up_time,deviceuuid,pkg_name,bed_time,set_time,datauuid
,,2020-08-01 09:29:20.525,2020-08-01 09:29:20.525,-52200000,30600000,m3h9nVfJDO,com.sec.android.app.shealth,82800000,2020-08-01 09:29:20.481,5a9c601e-03c1-464e-92de-3bedd12b2764,
63030110,63030110,2025-08-14 19:37:33.733,2025-08-14 19:37:33.733,-54000000,28800000,CdeuO5Zn7i,com.sec.android.app.shealth,82800000,2025-08-14 19:37:33.708,99a800fa-a987-40f7-9948-c0cb3ca31e94,
63030110,63030110,2025-09-13 18:02:50.640,2025-09-13 18:02:50.640,-54000000,25200000,CdeuO5Zn7i,com.sec.android.app.shealth,79200000,2025-09-13 18:02:50.620,0354b71d-b5c4-45ca-ab47-4ef274d90aa3,
63070030,63070030,2026-01-07 05:34:29.489,2026-01-07 05:34:29.489,-54000000,21600000,CdeuO5Zn7i,com.sec.android.app.shealth,75600000,2026-01-07 05:34:29.477,78af12f7-9751-4fd0-b268-e1b9e75b28a9,
63110130,63110130,2026-03-10 22:10:04.681,2026-03-10 22:10:04.681,30900000,31500000,CdeuO5Zn7i,com.sec.android.app.shealth,600000,2026-03-10 22:10:04.643,06cc4881-23d6-491b-ab95-75577b19ca33,
63110130,63110130,2026-03-11 20:16:52.878,2026-03-11 20:16:52.878,24600000,25200000,CdeuO5Zn7i,com.sec.android.app.shealth,600000,2026-03-11 20:16:52.850,92858e0c-c0f1-448c-82dc-7f9f9061a728,
63110130,63110130,2026-03-11 22:43:38.528,2026-03-11 22:43:38.528,24000000,24600000,CdeuO5Zn7i,com.sec.android.app.shealth,600000,2026-03-11 22:43:38.503,aeedd921-3e3a-4f8a-84db-ddf21587bb22,
63110130,63110130,2026-03-11 22:45:05.844,2026-03-11 22:45:05.844,-60000000,24600000,CdeuO5Zn7i,com.sec.android.app.shealth,84600000,2026-03-11 22:45:05.834,6fc95e9e-3480-44cf-8cfd-bec0b13df023,
63110130,63110130,2026-03-11 22:44:21.011,2026-03-11 22:44:21.011,-57000000,24600000,CdeuO5Zn7i,com.sec.android.app.shealth,81600000,2026-03-11 22:44:21.004,f9b05bb2-99e2-4107-8c0b-6079c34ad220,
63110130,63110130,2026-03-11 22:44:31.728,2026-03-11 22:44:31.728,-53400000,28200000,CdeuO5Zn7i,com.sec.android.app.shealth,81600000,2026-03-11 22:44:31.705,58d0e447-ec3f-4a22-9a0a-8c9211a7cf90,
63110130,63110130,2026-03-11 22:45:05.195,2026-03-11 22:45:05.195,-60000000,24600000,CdeuO5Zn7i,com.sec.android.app.shealth,84600000,2026-03-11 22:45:05.187,2b0e96c0-d62b-4ae2-9b85-2101a8a242cb,
63110130,63110130,2026-03-11 22:44:21.667,2026-03-11 22:44:21.667,-57000000,24600000,CdeuO5Zn7i,com.sec.android.app.shealth,81600000,2026-03-11 22:44:21.651,f841918a-ddd5-445a-883a-08d78bcb77fe,
63110130,63110130,2026-03-11 22:44:47.035,2026-03-11 22:44:47.035,-57000000,24600000,CdeuO5Zn7i,com.sec.android.app.shealth,81600000,2026-03-11 22:44:47.005,7dbc73c1-baf8-491b-a982-b66bd3dc57f0,
63110130,63110130,2026-03-12 06:21:49.604,2026-03-12 06:21:49.604,-59400000,25200000,CdeuO5Zn7i,com.sec.android.app.shealth,84600000,2026-03-12 06:21:49.567,cb7a0086-eb49-451b-87b3-cbb83ca45f1c,
63110130,63110130,2026-03-13 20:56:17.398,2026-03-13 20:56:17.398,-55800000,28800000,CdeuO5Zn7i,com.sec.android.app.shealth,84600000,2026-03-13 20:56:17.370,e77bf623-88b0-4b32-b455-c1d6ce5d7561,
63110130,63110130,2026-03-16 19:52:48.568,2026-03-16 19:52:48.568,-54000000,30600000,73kbvOFCrU,com.sec.android.app.shealth,84600000,2026-03-16 19:52:48.561,3fc35369-a14f-4e2e-8036-3b39b2c33442,
